01 12  02 11  03 10  04 09  05 08  06 07  
05 07  04 08  03 09  02 10  01 11  06 12  
05 12  06 11  01 10  02 09  03 08  04 07  
03 07  02 08  01 09  04 12  05 11  06 10  
06 09  05 10  04 11  03 12  01 08  02 07  
01 07  06 08  05 09  04 10  03 11  02 12  
07 12  08 11  09 10  01 06  02 05  03 04  
02 04  01 05  03 06  07 11  08 10  09 12  
08 12  09 11  07 10  02 06  03 05  01 04  
01 03  04 06  07 09  10 12  00 00  00 00  
11 12  08 09  05 06  02 03  00 00  00 00  
01 02  04 05  07 08  10 11  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  
