01 02  03 04  05 06  07 08  09 10  11 12  13 14  15 16  17 18  
02 03  01 04  06 07  05 08  10 11  09 12  14 15  13 16  00 00  
01 03  02 04  05 07  06 08  09 11  10 12  13 15  14 16  00 00  
04 05  03 06  02 07  01 08  12 13  11 14  10 15  09 16  00 00  
03 05  04 06  01 07  02 08  11 13  12 14  09 15  10 16  00 00  
02 05  01 06  04 07  03 08  10 13  09 14  12 15  11 16  00 00  
01 05  02 06  03 07  04 08  09 13  10 14  11 15  12 16  00 00  
08 09  07 10  06 11  05 12  04 13  03 14  02 15  01 16  00 00  
07 09  08 10  05 11  06 12  03 13  04 14  01 15  02 16  00 00  
06 09  05 10  08 11  07 12  02 13  01 14  04 15  03 16  00 00  
05 09  06 10  07 11  08 12  01 13  02 14  03 15  04 16  00 00  
04 09  03 10  02 11  01 12  08 13  07 14  06 15  05 16  00 00  
03 09  04 10  01 11  02 12  07 13  08 14  05 15  06 16  00 00  
02 09  01 10  04 11  03 12  06 13  05 14  08 15  07 16  00 00  
01 09  02 10  03 11  04 12  05 13  06 14  07 15  08 16  00 00  
16 17  15 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
15 17  16 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
14 17  13 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
13 17  14 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
12 17  11 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
11 17  12 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
10 17  09 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
09 17  10 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
08 17  07 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
07 17  08 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
06 17  05 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
05 17  06 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
04 17  03 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
03 17  04 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
02 17  01 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
02 18  00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
01 17  00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  00 00  
