01 02  03 04  05 06  07 08  09 10  11 12  13 14  15 16  17 18  19 20  21 22  23 24 
02 03  01 04  06 07  05 08  10 11  09 12  14 15  13 16  18 19  17 20  22 23  21 24 
01 03  02 04  05 07  06 08  09 11  10 12  13 15  14 16  17 19  18 20  21 23  22 24 
04 05  03 06  02 07  01 08  12 13  11 14  10 15  09 16  20 21  19 22  18 23  17 24 
03 05  04 06  01 07  02 08  11 13  12 14  09 15  10 16  19 21  20 22  17 23  18 24 
02 05  01 06  04 07  03 08  10 13  09 14  12 15  11 16  18 21  17 22  20 23  19 24 
01 05  02 06  03 07  04 08  09 13  10 14  11 15  12 16  17 21  18 22  19 23  20 24 
08 09  07 10  06 11  05 12  04 13  03 14  02 15  01 16  00 00  00 00  00 00  00 00 
07 09  08 10  05 11  06 12  03 13  04 14  01 15  02 16  00 00  00 00  00 00  00 00 
06 09  05 10  08 11  07 12  02 13  01 14  04 15  03 16  00 00  00 00  00 00  00 00 
05 09  06 10  07 11  08 12  01 13  02 14  03 15  04 16  00 00  00 00  00 00  00 00 
04 09  03 10  02 11  01 12  08 13  07 14  06 15  05 16  00 00  00 00  00 00  00 00 
03 09  04 10  01 11  02 12  07 13  08 14  05 15  06 16  00 00  00 00  00 00  00 00 
02 09  01 10  04 11  03 12  06 13  05 14  08 15  07 16  00 00  00 00  00 00  00 00 
01 09  02 10  03 11  04 12  05 13  06 14  07 15  08 16  00 00  00 00  00 00  00 00 
16 17  15 18  14 19  13 20  12 21  11 22  10 23  09 24  00 00  00 00  00 00  00 00 
15 17  16 18  13 19  14 20  11 21  12 22  09 23  10 24  00 00  00 00  00 00  00 00 
14 17  13 18  16 19  15 20  10 21  09 22  12 23  11 24  00 00  00 00  00 00  00 00 
13 17  14 18  15 19  16 20  09 21  10 22  11 23  12 24  00 00  00 00  00 00  00 00 
12 17  11 18  10 19  09 20  16 21  15 22  14 23  13 24  00 00  00 00  00 00  00 00 
11 17  12 18  09 19  10 20  15 21  16 22  13 23  14 24  00 00  00 00  00 00  00 00 
10 17  09 18  12 19  11 20  14 21  13 22  16 23  15 24  00 00  00 00  00 00  00 00 
09 17  10 18  11 19  12 20  13 21  14 22  15 23  16 24  00 00  00 00  00 00  00 00 
08 17  07 18  06 19  05 20  04 21  03 22  02 23  01 24  00 00  00 00  00 00  00 00 
07 17  08 18  05 19  06 20  03 21  04 22  01 23  02 24  00 00  00 00  00 00  00 00 
06 17  05 18  08 19  07 20  02 21  01 22  04 23  03 24  00 00  00 00  00 00  00 00 
05 17  06 18  07 19  08 20  01 21  02 22  03 23  04 24  00 00  00 00  00 00  00 00 
04 17  03 18  02 19  01 20  08 21  07 22  06 23  05 24  00 00  00 00  00 00  00 00 
03 17  04 18  01 19  02 20  07 21  08 22  05 23  06 24  00 00  00 00  00 00  00 00 
02 17  01 18  04 19  03 20  06 21  05 22  08 23  07 24  00 00  00 00  00 00  00 00 
01 17  02 18  03 19  04 20  05 21  06 22  07 23  08 24  00 00  00 00  00 00  00 00 
