01 02  03 04  05 06  07 08  09 10  11 12  13 14  15 16  17 18  19 20  21 22  23 24  25 26  27 28  29 30  31 32  33 34  
02 03  01 04  06 07  05 08  10 11  09 12  14 15  13 16  18 19  17 20  22 23  21 24  26 27  25 28  30 31  29 32  00 00  
01 03  02 04  05 07  06 08  09 11  10 12  13 15  14 16  17 19  18 20  21 23  22 24  25 27  26 28  29 31  30 32  00 00  
04 05  03 06  02 07  01 08  12 13  11 14  10 15  09 16  20 21  19 22  18 23  17 24  28 29  27 30  26 31  25 32  00 00  
03 05  04 06  01 07  02 08  11 13  12 14  09 15  10 16  19 21  20 22  17 23  18 24  27 29  28 30  25 31  26 32  00 00  
02 05  01 06  04 07  03 08  10 13  09 14  12 15  11 16  18 21  17 22  20 23  19 24  26 29  25 30  28 31  27 32  00 00  
01 05  02 06  03 07  04 08  09 13  10 14  11 15  12 16  17 21  18 22  19 23  20 24  25 29  26 30  27 31  28 32  00 00  
08 09  07 10  06 11  05 12  04 13  03 14  02 15  01 16  24 25  23 26  22 27  21 28  20 29  19 30  18 31  17 32  00 00  
07 09  08 10  05 11  06 12  03 13  04 14  01 15  02 16  23 25  24 26  21 27  22 28  19 29  20 30  17 31  18 32  00 00  
06 09  05 10  08 11  07 12  02 13  01 14  04 15  03 16  22 25  21 26  24 27  23 28  18 29  17 30  20 31  19 32  00 00  
05 09  06 10  07 11  08 12  01 13  02 14  03 15  04 16  21 25  22 26  23 27  24 28  17 29  18 30  19 31  20 32  00 00  
04 09  03 10  02 11  01 12  08 13  07 14  06 15  05 16  20 25  19 26  18 27  17 28  24 29  23 30  22 31  21 32  00 00  
03 09  04 10  01 11  02 12  07 13  08 14  05 15  06 16  19 25  20 26  17 27  18 28  23 29  24 30  21 31  22 32  00 00  
02 09  01 10  04 11  03 12  06 13  05 14  08 15  07 16  18 25  17 26  20 27  19 28  22 29  21 30  24 31  23 32  00 00  
01 09  02 10  03 11  04 12  05 13  06 14  07 15  08 16  17 25  18 26  19 27  20 28  21 29  22 30  23 31  24 32  00 00  
16 17  15 18  14 19  13 20  12 21  11 22  10 23  09 24  08 25  07 26  06 27  05 28  04 29  03 30  02 31  01 32  00 00  
15 17  16 18  13 19  14 20  11 21  12 22  09 23  10 24  07 25  08 26  05 27  06 28  03 29  04 30  01 31  02 32  00 00  
14 17  13 18  16 19  15 20  10 21  09 22  12 23  11 24  06 25  05 26  08 27  07 28  02 29  01 30  04 31  03 32  00 00  
13 17  14 18  15 19  16 20  09 21  10 22  11 23  12 24  05 25  06 26  07 27  08 28  01 29  02 30  03 31  04 32  00 00  
12 17  11 18  10 19  09 20  16 21  15 22  14 23  13 24  04 25  03 26  02 27  01 28  08 29  07 30  06 31  05 32  00 00  
11 17  12 18  09 19  10 20  15 21  16 22  13 23  14 24  03 25  04 26  01 27  02 28  07 29  08 30  05 31  06 32  00 00  
10 17  09 18  12 19  11 20  14 21  13 22  16 23  15 24  02 25  01 26  04 27  03 28  06 29  05 30  08 31  07 32  00 00  
09 17  10 18  11 19  12 20  13 21  14 22  15 23  16 24  01 25  02 26  03 27  04 28  05 29  06 30  07 31  08 32  00 00  
