01 16  02 15  03 14  04 13  05 12  06 11  07 10  08 09 
01 09  02 16  03 15  04 14  05 13  06 12  07 11  08 10 
08 11  07 12  06 13  05 14  04 15  03 16  01 10  02 09 
03 09  02 10  01 11  04 16  05 15  06 14  07 13  08 12 
08 13  07 14  06 15  05 16  01 12  02 11  03 10  04 09 
05 09  04 10  03 11  02 12  01 13  06 16  07 15  08 14 
08 15  07 16  01 14  02 13  03 12  04 11  05 10  06 09 
07 09  06 10  05 11  04 12  03 13  02 14  01 15  08 16 
09 16  10 15  11 14  12 13  01 08  02 07  03 06  04 05 
01 05  02 08  03 07  04 06  09 13  12 14  11 15  10 16 
11 16  12 15  09 14  10 13  03 08  04 07  01 06  02 05 
03 05  02 06  01 07  04 08  11 13  10 14  09 15  12 16 
13 16  14 15  09 12  10 11  05 08  06 07  01 04  02 03 
01 03  02 04  05 07  06 08  09 11  10 12  13 15  14 16 
15 16  13 14  11 12  09 10  07 08  05 06  03 04  01 02 
