01 17  02 18  03 19  04 20  05 21  06 22  07 23  08 24  09 25  10 26  11 27  12 28  13 29  14 30  15 31  16 32 
15 32  14 31  13 30  12 29  11 28  10 27  09 26  08 25  07 24  06 23  05 22  04 21  03 20  02 19  01 18  16 17 
15 17  16 18  01 19  02 20  03 21  04 22  05 23  06 24  07 25  08 26  09 27  10 28  11 29  12 30  13 31  14 32 
13 32  12 31  11 30  10 29  09 28  08 27  07 26  06 25  05 24  04 23  03 22  02 21  01 20  14 17  15 18  16 19 
16 20  15 19  14 18  13 17  01 21  02 22  03 23  04 24  05 25  06 26  07 27  08 28  09 29  10 30  11 31  12 32 
11 32  10 31  09 30  08 29  07 28  06 27  05 26  04 25  03 24  02 23  01 22  16 21  15 20  14 19  13 18  12 17 
11 17  12 18  13 19  14 20  15 21  16 22  01 23  02 24  03 25  04 26  05 27  06 28  07 29  08 30  09 31  10 32 
09 32  08 31  07 30  06 29  05 28  04 27  03 26  02 25  01 24  16 23  15 22  14 21  13 20  12 19  11 18  10 17 
09 17  10 18  11 19  12 20  13 21  14 22  15 23  16 24  08 32  07 31  06 30  05 29  04 28  03 27  02 26  01 25 
01 26  02 27  03 28  04 29  05 30  06 31  07 32  16 25  15 24  14 23  13 22  12 21  11 20  10 19  09 18  08 17 
07 17  08 18  09 19  10 20  11 21  12 22  13 23  14 24  15 25  16 26  06 32  05 31  04 30  03 29  02 28  01 27 
01 28  02 29  03 30  04 31  05 32  16 27  15 26  14 25  13 24  12 23  11 22  10 21  09 20  08 19  07 18  06 17 
05 17  06 18  07 19  08 20  09 21  10 22  11 23  12 24  13 25  14 26  15 27  16 28  04 32  03 31  02 30  01 29 
01 30  02 31  03 32  16 29  15 28  14 27  13 26  12 25  11 24  10 23  09 22  08 21  07 20  06 19  05 18  04 17 
03 17  04 18  05 19  06 20  07 21  08 22  09 23  10 24  11 25  12 26  13 27  14 28  15 29  16 30  02 32  01 31 
01 32  16 31  15 30  14 29  13 28  12 27  11 26  10 25  09 24  08 23  07 22  06 21  05 20  04 19  03 18  02 17 
01 09  02 10  03 11  04 12  05 13  06 14  07 15  08 16  17 25  18 26  19 27  20 28  21 29  22 30  23 31  24 32 
23 32  22 31  21 30  20 29  19 28  18 27  17 26  24 25  07 16  06 15  05 14  04 13  03 12  02 11  01 10  08 09 
07 09  08 10  01 11  02 12  03 13  04 14  05 15  06 16  17 27  18 28  19 29  20 30  21 31  22 32  23 25  24 26 
22 25  23 26  24 27  17 28  18 29  19 30  20 31  21 32  05 16  04 15  03 14  02 13  01 12  06 09  07 10  08 11 
05 09  06 10  07 11  08 12  01 13  02 14  03 15  04 16  21 25  22 26  23 27  24 28  17 29  18 30  19 31  20 32 
19 32  18 31  17 30  24 29  23 28  22 27  21 26  20 25  08 13  07 12  06 11  05 10  04 09  01 14  02 15  03 16 
02 16  01 15  03 09  04 10  05 11  06 12  07 13  08 14  19 25  20 26  21 27  22 28  23 29  24 30  17 31  18 32 
17 32  24 31  23 30  22 29  21 28  20 27  19 26  18 25  08 15  07 14  06 13  05 12  04 11  03 10  02 09  01 16 
01 05  02 06  03 07  04 08  09 13  10 14  11 15  12 16  17 21  18 22  19 23  20 24  25 29  26 30  27 31  28 32 
27 32  26 31  25 30  28 29  19 24  18 23  17 22  20 21  11 16  10 15  09 14  12 13  03 08  02 07  01 06  04 05 
03 05  04 06  01 07  02 08  11 13  12 14  09 15  10 16  19 21  20 22  17 23  18 24  27 29  28 30  25 31  26 32 
25 32  28 31  27 30  26 29  20 23  19 22  18 21  17 24  09 16  12 15  11 14  10 13  04 07  03 06  02 05  01 08 
01 03  02 04  05 07  06 08  09 11  10 12  13 15  14 16  17 19  18 20  21 23  22 24  25 27  26 28  29 31  30 32 
29 32  30 31  25 28  26 27  21 24  22 23  18 19  17 20  14 15  13 16  10 11  09 12  06 07  05 08  02 03  01 04 
01 02  03 04  05 06  07 08  09 10  11 12  13 14  15 16  17 18  19 20  21 22  23 24  25 26  27 28  29 30  31 32 

